elapsed_seconds,status,shoulder_width_current,shoulder_width_deviation,shoulder_width_status,shoulder_tilt_current,shoulder_tilt_deviation,shoulder_tilt_status,head_drop_ratio_current,head_drop_ratio_deviation,head_drop_ratio_status,forward_head_ratio_current,forward_head_ratio_deviation,forward_head_ratio_status,head_tilt_current,head_tilt_deviation,head_tilt_status
1.46,good,0.3796,0.0116,good,178.8529,43.9694,good,0.4086,0.0087,good,-0.4575,0.0074,good,-177.5757,88.1374,good
1.48,good,0.3796,0.0118,good,178.8687,43.9852,good,0.4094,0.0080,good,-0.4570,0.0078,good,-177.4997,88.0614,good
1.52,good,0.3796,0.0118,good,178.8751,43.9915,good,0.4100,0.0074,good,-0.4569,0.0079,good,-177.4440,88.0057,good
1.55,good,0.3796,0.0116,good,178.8704,43.9869,good,0.4103,0.0070,good,-0.4567,0.0082,good,-177.4147,87.9764,good
1.58,good,0.3796,0.0118,good,178.8856,44.0021,good,0.4111,0.0063,good,-0.4569,0.0080,good,-177.4209,87.9826,good
1.62,good,0.3797,0.0115,good,178.9449,44.0614,good,0.4113,0.0060,good,-0.4567,0.0082,good,-177.4976,88.0593,good
1.65,good,0.3797,0.0113,good,179.0042,44.1207,good,0.4115,0.0058,good,-0.4565,0.0084,good,-177.5742,88.1359,good
1.67,good,0.3796,0.0117,good,179.0022,44.1187,good,0.4119,0.0054,good,-0.4575,0.0073,good,-177.6571,88.2188,good
1.71,good,0.3797,0.0114,good,179.0532,44.1697,good,0.4119,0.0055,good,-0.4579,0.0070,good,-177.7024,88.2641,good
1.76,good,0.3797,0.0113,good,179.0764,44.1929,good,0.4121,0.0052,good,-0.4587,0.0062,good,-177.8204,88.3821,good
1.79,good,0.3797,0.0113,good,179.0996,44.2161,good,0.4124,0.0050,good,-0.4595,0.0054,good,-177.9383,88.5000,good
1.82,good,0.3796,0.0116,good,179.1279,44.2444,good,0.4124,0.0050,good,-0.4598,0.0051,good,-177.9967,88.5584,good
1.88,good,0.3795,0.0119,good,179.1662,44.2827,good,0.4122,0.0052,good,-0.4602,0.0047,good,-178.0220,88.5837,good
1.90,good,0.3793,0.0123,good,179.2045,44.3209,good,0.4119,0.0054,good,-0.4605,0.0044,good,-178.0473,88.6090,good
1.93,good,0.3791,0.0129,good,179.2145,44.3310,good,0.4121,0.0052,good,-0.4614,0.0034,good,-178.0965,88.6582,good
1.96,good,0.3789,0.0135,good,179.2246,44.3410,good,0.4124,0.0050,good,-0.4624,0.0025,good,-178.1456,88.7073,good
1.98,good,0.3787,0.0139,good,179.2175,44.3340,good,0.4123,0.0051,good,-0.4631,0.0018,good,-178.1349,88.6966,good
2.02,good,0.3785,0.0145,good,179.2086,44.3250,good,0.4121,0.0053,good,-0.4638,0.0011,good,-178.1132,88.6749,good
2.04,good,0.3783,0.0151,good,179.1997,44.3161,good,0.4119,0.0055,good,-0.4644,0.0005,good,-178.0914,88.6531,good
